Analysing Base64
Version: 0.1.0, Dependencies: 0, DevDependencies: 3
Version: 5.1.0, Dependencies: 2, DevDependencies: 4
Version: 5.2.0, Dependencies: 2, DevDependencies: 4
Version: 5.2.1, Dependencies: 2, DevDependencies: 4
Analysing albatross
Version: 0.1.0, Dependencies: 2, DevDependencies: 1
Version: 0.1.1, Dependencies: 2, DevDependencies: 1
Version: 0.1.2, Dependencies: 2, DevDependencies: 1
Version: 0.1.3, Dependencies: 2, DevDependencies: 1
Version: 0.2.0, Dependencies: 2, DevDependencies: 1
Version: 0.2.1, Dependencies: 2, DevDependencies: 2
Version: 0.2.2, Dependencies: 2, DevDependencies: 3
Version: 1.0.0, Dependencies: 2, DevDependencies: 3
Version: 1.1.0, Dependencies: 2, DevDependencies: 4
Version: 2.0.0, Dependencies: 2, DevDependencies: 8
Version: 2.1.0, Dependencies: 2, DevDependencies: 8
Version: 3.0.0, Dependencies: 3, DevDependencies: 9
Version: 3.1.0, Dependencies: 3, DevDependencies: 9
Version: 3.1.1, Dependencies: 5, DevDependencies: 7
Version: 3.2.0, Dependencies: 5, DevDependencies: 7
Version: 3.3.0, Dependencies: 5, DevDependencies: 7
Version: 3.4.0, Dependencies: 5, DevDependencies: 7
Version: 3.4.1, Dependencies: 5, DevDependencies: 7
Version: 3.4.2, Dependencies: 5, DevDependencies: 7
Analysing alertifyjs
Version: 1.1.0, Dependencies: 0, DevDependencies: 21
Version: 1.2.0, Dependencies: 0, DevDependencies: 21
Version: 1.2.1, Dependencies: 0, DevDependencies: 21
Version: 1.3.0, Dependencies: 0, DevDependencies: 21
Version: 1.4.0, Dependencies: 0, DevDependencies: 22
Version: 1.4.1, Dependencies: 0, DevDependencies: 22
Version: 1.5.0, Dependencies: 0, DevDependencies: 22
Version: 1.6.0, Dependencies: 1, DevDependencies: 22
Version: 1.6.1, Dependencies: 0, DevDependencies: 22
Version: 1.7.0, Dependencies: 0, DevDependencies: 22
Version: 1.7.1, Dependencies: 0, DevDependencies: 22
Version: 1.8.0, Dependencies: 0, DevDependencies: 22
Version: 1.9.0, Dependencies: 0, DevDependencies: 22
Version: 1.10.0, Dependencies: 0, DevDependencies: 22
Version: 1.11.0, Dependencies: 0, DevDependencies: 23
Version: 1.11.1, Dependencies: 0, DevDependencies: 23
Version: 1.11.2, Dependencies: 0, DevDependencies: 23
Version: 1.11.3, Dependencies: 0, DevDependencies: 23
Version: 1.11.4, Dependencies: 0, DevDependencies: 23
Version: 1.12.0, Dependencies: 0, DevDependencies: 23
Version: 1.13.0, Dependencies: 0, DevDependencies: 23
Version: 1.13.1, Dependencies: 0, DevDependencies: 23
Analysing alex
Version: 1.0.0, Dependencies: 15, DevDependencies: 12
Version: 1.1.0, Dependencies: 15, DevDependencies: 12
Version: 1.2.0, Dependencies: 15, DevDependencies: 12
Version: 1.3.0, Dependencies: 15, DevDependencies: 12
Version: 1.4.0, Dependencies: 14, DevDependencies: 12
Version: 1.5.0, Dependencies: 14, DevDependencies: 12
Version: 1.6.0, Dependencies: 18, DevDependencies: 12
Version: 1.6.1, Dependencies: 18, DevDependencies: 12
Version: 2.0.0, Dependencies: 20, DevDependencies: 12
Version: 2.0.1, Dependencies: 20, DevDependencies: 12
Version: 3.0.0, Dependencies: 20, DevDependencies: 12
Version: 3.1.0, Dependencies: 20, DevDependencies: 13
Version: 4.0.0, Dependencies: 14, DevDependencies: 8
Version: 4.0.1, Dependencies: 14, DevDependencies: 8
Version: 4.1.0, Dependencies: 14, DevDependencies: 8
Version: 5.0.0, Dependencies: 15, DevDependencies: 8
Version: 5.1.0, Dependencies: 15, DevDependencies: 8
Version: 6.0.0, Dependencies: 15, DevDependencies: 9
Version: 7.0.0, Dependencies: 17, DevDependencies: 9
Version: 7.1.0, Dependencies: 17, DevDependencies: 9
Version: 8.0.0, Dependencies: 17, DevDependencies: 9
Version: 8.0.1, Dependencies: 17, DevDependencies: 9
Version: 8.1.0, Dependencies: 17, DevDependencies: 9
Version: 8.1.1, Dependencies: 17, DevDependencies: 8
Version: 8.2.0, Dependencies: 17, DevDependencies: 8
Version: 9.0.0, Dependencies: 18, DevDependencies: 8
Version: 9.0.1, Dependencies: 18, DevDependencies: 8
Version: 9.1.0, Dependencies: 18, DevDependencies: 9
Version: 9.1.1, Dependencies: 18, DevDependencies: 9
Version: 10.0.0, Dependencies: 21, DevDependencies: 13
